Image,SAM IoU,SAM BIoU,SAM Dice,SAM ms,FS IoU,FS BIoU,FS Dice,FS ms
7001-115.jpg,0.045,0.0,0.087,2942.0,0.046,0.04,0.088,8588.5
7001-139.jpg,0.004,0.0,0.009,1396.2,0.005,0.0,0.01,38.0
7001-151.jpg,0.015,0.0,0.03,1364.7,0.016,0.0,0.032,37.3
7001-157.jpg,0.007,0.0,0.014,1376.2,0.007,0.0,0.015,37.8
7001-169.jpg,0.006,0.0,0.011,1386.8,0.006,0.0,0.012,39.1
7001-17.jpg,0.06,0.037,0.112,1401.6,0.089,0.057,0.163,39.5
7001-173.jpg,0.01,0.0,0.02,1434.6,0.011,0.011,0.021,40.3
7001-178.jpg,0.005,0.0,0.01,1350.5,0.006,0.0,0.011,37.4
7001-187.jpg,0.026,0.086,0.051,1420.5,0.017,0.107,0.034,37.1
7001-2.jpg,0.028,0.073,0.055,1414.0,0.016,0.055,0.031,38.1
7001-208.jpg,0.217,0.268,0.356,1506.0,0.004,0.003,0.007,60.6
7001-21.jpg,0.002,0.778,0.005,1784.2,0.024,0.014,0.048,43.0
7001-22.jpg,0.005,0.333,0.009,1408.1,0.009,0.023,0.017,38.0
7001-225.jpg,0.011,0.0,0.021,1393.5,0.011,0.018,0.022,39.7
7001-226.jpg,0.033,0.031,0.064,1451.2,0.021,0.036,0.041,39.7
7001-236.jpg,0.065,0.045,0.122,1432.1,0.027,0.023,0.053,37.9
7001-237.jpg,0.012,0.24,0.024,1347.6,0.019,0.01,0.037,39.1
7001-25.jpg,0.015,0.0,0.029,1390.0,0.016,0.015,0.031,37.7
7001-26.jpg,0.008,0.0,0.015,1378.6,0.008,0.002,0.017,37.8
7001-27.jpg,0.006,0.0,0.012,1411.0,0.006,0.008,0.013,38.4
7001-40.jpg,0.011,0.427,0.022,1444.8,0.022,0.006,0.044,38.0
7001-41.jpg,0.034,0.03,0.066,1387.8,0.037,0.018,0.071,37.9
7001-42.jpg,0.125,0.116,0.223,1451.8,0.12,0.114,0.215,39.0
7001-43.jpg,0.075,0.091,0.139,1417.8,0.009,0.025,0.019,37.4
7001-56.jpg,0.003,0.0,0.005,1402.7,0.003,0.007,0.006,37.8
7001-57.jpg,0.004,0.0,0.008,1419.7,0.004,0.0,0.009,37.9
7001-60.jpg,0.041,0.081,0.079,1390.8,0.047,0.035,0.09,38.5
7001-68.jpg,0.055,0.061,0.104,1435.3,0.013,0.025,0.026,37.9
7001-78.jpg,0.05,0.057,0.095,1449.8,0.014,0.012,0.028,38.3
7001-79.jpg,0.073,0.068,0.136,1442.5,0.015,0.047,0.03,37.4
